RunNr	FileName	Condition	Replicate	Precursors	ModifiedSequences	Peptides	ProteinGroups	Proteins
1	LXF-A-DIA-1.raw	A	1	2570	1862	1711	630	5126
2	LXF-A-DIA-2.raw	A	2	2559	1854	1697	622	5111
3	LXF-A-DIA-3.raw	A	3	2534	1839	1688	626	5107
4	LXF-B-DIA-1_20220701112428.raw	B	1	1638	1273	1147	506	4774
5	LXF-B-DIA-2_20220701122200.raw	B	2	1615	1253	1120	486	4732
6	LXF-B-DIA-3_20220701131934.raw	B	3	1560	1215	1087	475	4709
